id,level_0,category_id,category_title,date,miss,price_old,site_code,site_link,site_title,site_unit,type,price_new,nsprice_f
0,0,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/bakaleya/pripravy-specii/marinady/marinad-kamis-govyadina-na-uglyah-franciya-20g/,"маринад kamis говядина на углях франция, 20 г",1кг,food,48.59,48.59
1,1,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/myaso-ptica-kolbasa/kolbasnye-izdeliya/delikatesy-kopchjnye/govyadina-karolina-vk-vu-rossiya-400g/,"говядина karolina в/к в/у россия, 400 г",1кг,food,315.79,315.79
2,2,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/myaso-ptica-kolbasa/kolbasnye-izdeliya/delikatesy-kopchjnye/govyadina-lenta-kv-kata-vu-rossiya-400g/,"говядина лента к/в кат.а в/у россия, 400 г",1кг,food,315.79,315.79
3,3,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/myaso-ptica-kolbasa/kolbasnye-izdeliya/delikatesy-kopchjnye/govyadina-md-borodina-slobodskaya-kv-vu-rossiya-300g/,"говядина мд бородина слободская к/в в/у россия, 300 г",1кг,food,494.79,494.79
4,4,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-glubokojj-zamorozki/subprodukty/govyadina-miratorg-blek-angus-nab-dholod-sm-ves-rossiya-1kg/,говядина мираторг блэк ангус наб д/холод с/м вес россия,1кг,food,294.79,294.79
5,5,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-glubokojj-zamorozki/subprodukty/govyadina-miratorg-ragu-sm-paket-rossiya-1000g/,"говядина мираторг рагу с/м пакет россия, 1000 г",1кг,food,104.69,104.69
6,6,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-miratorg-shnicel-rvk-rossiya-430g/,"говядина мираторг шницель рвк россия, 430 г",1кг,food,347.29,347.29
7,7,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-miratorg-stejjk-iz-okoroka-ohl-rossiya-470g/,"говядина мираторг стейк из окорока охл россия, 470 г",1кг,food,410.59,410.59
8,8,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-miratorg-stejjk-ribajj-blek-angus-rvk-ohl-rossiya-320g/,"говядина мираторг стейк рибай блэк ангус рвк охл россия, 320 г",1кг,food,1079.99,1079.99
9,9,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-miratorg-stejjk-striplojjn-blek-angus-rvk-ohl-rossiya-320g/,"говядина мираторг стейк стриплойн блэк ангус рвк охл россия, 320 г",1кг,food,779.99,779.99
10,10,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-svininy/govyadina-samson-stejjk-iz-tazobedr-kata-za-ohl-rossiya-400g/,"говядина самсон стейк из тазобедр. кат.а за охл россия, 400 г",1кг,food,368.49,368.49
11,11,1,Говядина (кроме бескостного мяса),2020-04-04,0,-1.0,lenta_msk,https://lenta.com/catalog/myaso-ptica-kolbasa/produkty-myasnojj-pererabotki/delikatesy/govyadina-md-borodina-sk-vu-rossiya-95g/,"говядина мд бородина с/к в/у россия, 95 г",1кг,food,178.99,178.99
