proxy,handler
84.201.254.47:3128,svaznoy_msk
193.22.96.22:3128,svaznoy_msk
154.16.202.22:3128,svaznoy_msk
193.22.96.22:3128,ikea_msk
84.201.254.47:3128,ikea_msk
154.16.202.22:3128,rigla_spb
167.71.5.83:3128,svaznoy_msk
138.68.161.14:3128,svaznoy_msk
161.35.70.249:3128,svaznoy_msk
46.4.96.137:3128,svaznoy_msk
195.201.139.159:3128,svaznoy_msk
88.198.50.103:3128,svaznoy_msk
88.198.24.108:3128,svaznoy_msk
207.154.231.213:3128,svaznoy_msk
176.9.75.42:3128,svaznoy_msk
176.9.119.170:3128,svaznoy_msk
54.37.130.250:3128,svaznoy_msk
88.198.50.103:3128,ikea_msk
161.35.70.249:3128,ikea_msk
95.54.196.135:3128,ikea_msk
138.68.161.14:3128,ikea_msk
176.9.119.170:3128,rigla_spb
193.22.96.22:3128,rigla_spb
167.71.5.83:3128,rigla_spb
88.198.50.103:3128,lenta_msk
154.16.202.22:3128,lenta_msk
88.198.24.108:3128,lenta_msk
195.201.139.159:3128,lenta_msk
88.198.24.108:3128,ikea_msk
62.33.207.202:3128,rigla_spb
176.9.75.42:3128,rigla_spb
